d,sh,eh,c,l,b,st,t
2016-02-17,19:44:00,19:57:00,drizzling,berrini,21,1,24
2016-02-18,08:59:00,09:20:00,cloudy,berrini,32,1,23
2016-02-19,09:35:00,09:50:00,clear_sky,berrini,41,1,25
2016-02-21,17:50:00,18:00:00,clear_sky,berrini,11,0,25
2016-02-23,09:37:00,09:48:00,clear_sky,berrini,19,0,24
2016-02-24,09:30:00,09:44:00,cloudy,berrini,10,0,23
2016-02-24,19:30:00,19:52:00,drizzling,berrini,22,0,22
2016-02-29,09:37:00,09:48:00,cloudy,berrini,12,0,20
2016-02-29,19:22:00,19:32:00,drizzling,berrini,12,0,20
2016-03-01,09:10:00,09:25:00,drizzling,berrini,20,0,18
2016-03-01,18:57:00,19:15:00,cloudy,berrini,15,0,21
2016-03-02,09:33:00,09:45:00,drizzling,berrini,20,0,20
2016-03-03,10:11:00,10:23:00,clear_sky,berrini,8,0,23
2016-03-07,09:31:00,09:41:00,clear_sky,berrini,13,0,26
2016-03-03,21:12:00,21:21:00,raining,berrini,4,0,22
2016-03-08,18:59:00,19:48:00,clear_sky,berrini,94,0,24
2016-03-08,09:19:00,09:25:00,clear_sky,faria_lima,19,0,23
2016-03-09,09:24:00,09:34:00,clear_sky,berrini,18,0,24
2016-03-09,19:58:00,20:34:00,cloudy,berrini,35,0,24
2016-03-10,07:19:00,07:29:00,drizzling,berrini,19,0,23
2016-03-11,09:37:00,10:03:00,drizzling,berrini,21,0,23
2016-03-12,08:56:00,09:00:00,cloudy,paulista,14,0,22
2016-03-12,17:22:00,17:23:00,cloudy,paulista,10,0,22
2016-03-14,09:52:00,10:00:00,clear_sky,berrini,11,0,24
2016-03-14,18:46:00,18:52:00,cloudy,faria_lima,29,0,23
2016-03-15,09:16:00,09:23:00,clear_sky,faria_lima,31,0,23
2016-03-15,18:52:00,19:13:00,cloudy,berrini,30,0,21
2016-03-17,09:27:00,09:37:00,clear_sky,berrini,11,0,20
2016-03-22,09:35:00,09:48:00,clear_sky,berrini,20,0,30
2016-03-28,07:39:00,07:41:00,clear_sky,artur_azevedo,5,0,24
2016-03-28,07:43:00,07:53:00,clear_sky,faria_lima,44,0,24
2016-03-28,18:49:00,19:04:00,clear_sky,berrini,32,0,29
2016-03-29,09:48:00,09:58:00,clear_sky,berrini,9,0,27
2016-04-01,20:03:00,20:15:00,clear_sky,berrini,13,0,22
2016-04-03,11:55:00,12:04:00,clear_sky,berrini,128,0,32
2016-04-04,09:23:00,09:34:00,cloudy,berrini,15,0,25
2016-04-05,19:16:00,19:27:00,clear_sky,berrini,14,0,24
2016-04-12,18:45:00,19:15:00,clear_sky,berrini,55,0,27
2016-04-14,09:19:00,09:29:00,clear_sky,berrini,22,0,28
2016-04-14,18:10:00,18:30:00,clear_sky,berrini,32,0,27
2016-04-18,20:11:00,20:35:00,clear_sky,berrini,37,0,28
2016-04-26,09:25:00,09:34:00,cloudy,berrini,15,0,24
2016-04-20,18:10:00,18:23:00,cloudy,berrini,16,0,27
2016-04-26,09:37:00,09:45:00,cloudy,olimpiadas,6,0,23
2016-04-27,09:32:00,09:41:00,cloudy,berrini,14,0,18
2016-04-29,09:36:00,09:48:00,cloudy,berrini,19,0,16
2016-05-02,09:46:00,10:00:00,clear_sky,berrini,16,0,18
2016-05-05,09:12:00,09:23:00,clear_sky,berrini,25,0,23
2016-05-05,18:58:00,19:06:00,clear_sky,olimpiadas,13,0,21
2016-05-05,19:07:00,19:22:00,clear_sky,berrini,29,0,21
